airline_sentiment,text
negative,okc ticket agent roger mclarrensp less helpful intl group travel problem cant find supervisor help
negative,mobile apps need construction ground o category expensive get right
negative,another fail united ticket agent okc less helpful could care less problem american come
positive,also work wc coach good thing bird land ahead schedule use wc stat
neutral,o isnt control rather verizonwireless app new
negative,send email customer care tell may break cryingface sincerely hope help
negative,silly im fly delta today united club staff attendant surly unhelpful always seem bother pesky folk
negative,phone number cant find call flight reservation
negative,well cant fix miss buddy th bday negligence attempt make
negative,believe help customer service couldnt like say want number someone fix
negative,help baggage service desk say bc tsa screening fll bag make bag ewr
negative,mobile board pas disappear phone stand line board second time week hmm
positive,record rozana newark lovely helpful choosekind
neutral,last night ordlga
positive,thx update
neutral,thank
neutral,dm nut
negative,explain eager flight attendant try ask vision ccicanine guide dog
negative,whats point ask detail servicedog book flight crew doesnt read continue
negative,try one available bogota everyone rude houston stick hour guy
negative,worstunitedflightsever ua la iad mechanical problem take land fix delay wtfodds
positive,despite bag make newark good informative email track update help
negative,whats go ua outbound flight last thurs delay hrs long delay worstunitedflightsever
negative,worstunitedflightsever ua iad las mechanical problem switch aircraft delay hour
negative,crash try check
positive,wow deal plus seat available easy change make customer happy
neutral,thanks info already know
neutral,airline trouble winter amp get good customer service contact httptcoaqjnhwnac negotiate resolution
negative,logan board gong show due lax carry enforcement bin full coat room bag u need good system
neutral,thank
negative,blackmail pay extra return ticket nullify san francisco airport terrible service rep scam
neutral,email address reach long dm
negative,disappoint u didnt honor credit give ur mistake take business elsewhere victoryhand
negative,ua still wait suppose depart
negative,credit last trip never come mail
negative,ok month wait hear airline give quite bit day request terrible service
negative,process ever end still wait reply since month pathetic customerservice
negative,whats go website im flight booking problem three ticket today ive boot system umpteen time
negative,get account number website say email unavailable
neutral,need book two one way order fly unaccompanied minor
negative,receive bag last night still miss one
negative,simonroesner youll need upgrade seat even economy plus like sit concrete bench
neutral,pls help baby hannah get life save surgery requiresshe need helppls donatert httptcokqnrrpa
neutral,bet wont honour like mine ey
negative,nd flight also delay pilot board sit schedule
neutral,guess thats much ask huh
negative,hard stay upset someone least try show remorse
negative,way simple apology go long way even hollow one obvious dont care wellbeing
negative,isnt one time thing either shocking pattern repeat neglect disrespect
negative,finger cross amp intact disappointed experience actually say enjoy use
negative,incredibly easy fix would rather stay comfort zone get force mine
negative,july zero excuse outofdate system cause problem like
negative,everyone around u sit friend family member book ticket october december buy
negative,sure talk go nonstop flight sna sfo sfo ewr
negative,im move americanair united talk service
neutral,please good weekend
negative,ask legitimate question systemwide v localize problem get back unrelate flightd copypaste good
negative,time call need ski go airport get faith united
negative,see guy amaze one company continually make mistake yet fail hold accountable error
neutral,tourist wonder super tide tide century french uk coast httptcogxdqortss
negative,yeah sorry theres always problem united international reputation problem
neutral,yall probably work
negative,maybe bbbnesdksia would care hear go whoever listen issue cause
negative,wonder share fb insta would produce number character really limit story tell
negative,youre tell number call leave airport negligent pilot staff
negative,could email resent doesnt appear arrive
neutral,yes please try get pop newark
negative,follow order dmcome
negative,unite coupon make break entertainment system hour flight seriously ridiculousness learncustomerservice
negative,didnt drop bag overnight amp im leave week suppose hold bag
negative,dm detail still response book today
neutral,know probably way get cheap airfare ticket flight leave hour foldedhands
neutral,someone please explain process happen property find plane passenger leave heathrow
negative,able dm confirmation number
negative,ive send message let know get im twitterliterate also really go stick hr
negative,unhappy response complaint email nd feb ref awful customer service
neutral,dm work
positive,private jet would cool work ill try
negative,give option use united travelbank recent flight book problem help use recoup fund thanks
negative,common keep paper work ready dont delay flightsand meeting choosechicago
neutral,yulord
negative,yep thats correct get email flight cancel flightled doesnt matter flight atl delay thx
negative,k problem get fll iah sent dm make connection please let know
neutral,do do
positive,thanks send
negative,im ground montreal ua miss connection ua st louis helpdo private jet
negative,im frustrated nervous
negative,one make difficult
negative,im child im someone issue fly prepares ahead time reduce distress cause plane
negative,get cancel flightled hour take
negative,always happen guy make travel incredibly stressful uncomfortable good business
negative,someone severe anxiety one person help isnt next
negative,im seek go client bc u cant get need refund fill form confident work past indication
neutral,response unite bot seem improvement could easily attain st class service really worth
